cohort_index,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.15266106442577032,0.16487252124645893,0.12125534950071326,0.19560223170331473,0.1875,0.1809787626962142,0.1424731182795699,0.11317365269461079,0.14031620553359683,0.12318840579710146,0.1111111111111111,0.09269027882441598,0.1686182669789227,0.2251336898395722,0.20727945712523133,0.17232808616404308,0.1280373831775701,0.145,0.18226600985221675,0.1227217496962333,0.07890961262553801,0.042283298097251586,0.0431266846361186,
2,0.17763772175536882,0.12096317280453257,0.11326676176890157,0.17919264850672792,0.20535714285714285,0.16666666666666666,0.11021505376344086,0.11796407185628742,0.13932806324110672,0.13600891861761427,0.11314363143631437,0.07535795026375283,0.1882903981264637,0.22566844919786097,0.19309068476249228,0.13587406793703397,0.11495327102803739,0.17,0.16551724137931034,0.1117861482381531,0.05595408895265423,0.03382663847780127,,
3,0.12394957983193278,0.1113314447592068,0.11868758915834522,0.1916639317361339,0.17596726190476192,0.10895660203139428,0.11290322580645161,0.11377245508982035,0.14031620553359683,0.11259754738015608,0.07655826558265583,0.07535795026375283,0.20140515222482436,0.21122994652406418,0.13942011104256632,0.1052195526097763,0.10841121495327102,0.158,0.11330049261083744,0.061968408262454436,0.04591104734576758,,,
4,0.10971055088702147,0.11898016997167139,0.1101283880171184,0.17459796521168364,0.11941964285714286,0.12003693444136658,0.128494623655914,0.11317365269461079,0.09733201581027667,0.07525083612040134,0.07181571815718157,0.06631499623210249,0.20327868852459016,0.16684491978609625,0.12523133867982728,0.09610604805302403,0.10186915887850467,0.128,0.07389162561576355,0.038882138517618466,,,,
5,0.11017740429505135,0.1226628895184136,0.11640513552068474,0.11289793239251723,0.125,0.10433979686057249,0.13172043010752688,0.08622754491017964,0.06571146245059288,0.09141583054626533,0.07384823848238482,0.07686510926902788,0.16252927400468384,0.12085561497326203,0.09932140653917335,0.11516155758077878,0.07850467289719626,0.062,0.0561576354679803,,,,,
6,0.111577964519141,0.12011331444759207,0.11184022824536377,0.10764686576960945,0.12276785714285714,0.13204062788550322,0.07311827956989247,0.06227544910179641,0.06867588932806325,0.06911928651059086,0.08604336043360433,0.09118311981914091,0.12177985948477751,0.12620320855614972,0.1270820481184454,0.09113504556752279,0.059813084112149535,0.062,,,,,,
7,0.11624649859943978,0.11388101983002832,0.12268188302425106,0.1253692156219232,0.1130952380952381,0.06555863342566944,0.05806451612903226,0.06766467065868263,0.07065217391304347,0.08249721293199554,0.1016260162601626,0.11680482290881689,0.12318501170960187,0.12406417112299466,0.0919185687847008,0.06462303231151616,0.048598130841121495,,,,,,,
8,0.11437908496732026,0.128328611898017,0.1101283880171184,0.11782080735149328,0.059895833333333336,0.05771006463527239,0.06075268817204301,0.06646706586826347,0.07065217391304347,0.09643255295429208,0.12398373983739837,0.12057272042200452,0.11428571428571428,0.07967914438502674,0.08389882788402221,0.06793703396851698,,,,,,,,
9,0.12721755368814192,0.11983002832861189,0.10955777460770329,0.06662290777814243,0.05357142857142857,0.05447830101569714,0.06612903225806452,0.06526946107784432,0.09288537549407115,0.10702341137123746,0.13956639566395665,0.12057272042200452,0.09274004683840749,0.08074866310160428,0.07402837754472548,,,,,,,,,
10,0.12184873949579832,0.13342776203966006,0.08159771754636234,0.052838857893009517,0.05580357142857143,0.05216989843028624,0.06612903225806452,0.07365269461077845,0.11413043478260869,0.1064659977703456,0.12601626016260162,0.07761868877166542,0.06978922716627635,0.07540106951871657,,,,,,,,,,
11,0.1134453781512605,0.08810198300283287,0.07475035663338088,0.052838857893009517,0.050595238095238096,0.048938134810710986,0.06397849462365592,0.06826347305389222,0.11413043478260869,0.12207357859531773,0.07926829268292683,0.06254709871891484,0.06604215456674473,,,,,,,,,,,
12,0.08473389355742297,0.06458923512747876,0.07189728958630527,0.05021332458155563,0.04799107142857143,0.05170821791320406,0.07634408602150537,0.07604790419161676,0.11166007905138339,0.07803790412486064,0.06029810298102981,0.06179351921627732,,,,,,,,,,,,
13,0.06489262371615313,0.062039660056657224,0.07275320970042796,0.05251066622907778,0.052455357142857144,0.06971375807940905,0.07258064516129033,0.07125748502994012,0.08646245059288538,0.056856187290969896,0.06233062330623306,,,,,,,,,,,,,
14,0.06909430438842204,0.06912181303116147,0.07788873038516406,0.0508697079094191,0.05431547619047619,0.07156048014773776,0.06182795698924731,0.053293413173652694,0.06669960474308301,0.05964325529542921,,,,,,,,,,,,,,
15,0.07282913165266107,0.06940509915014165,0.0724679029957204,0.05677715786019035,0.060267857142857144,0.06278855032317636,0.0521505376344086,0.05389221556886228,0.04891304347826087,,,,,,,,,,,,,,,
16,0.06605975723622783,0.06543909348441926,0.06875891583452211,0.06104364949130292,0.05505952380952381,0.03831948291782087,0.046236559139784944,0.053293413173652694,,,,,,,,,,,,,,,,
17,0.06162464985994398,0.06345609065155808,0.07446504992867332,0.052838857893009517,0.03869047619047619,0.0332409972299169,0.04032258064516129,,,,,,,,,,,,,,,,,
18,0.05952380952380952,0.06572237960339944,0.0667617689015692,0.032819166393173616,0.030877976190476192,0.03693444136657433,,,,,,,,,,,,,,,,,,
19,0.05648926237161531,0.07195467422096317,0.04650499286733238,0.04430587463078438,0.04017857142857143,,,,,,,,,,,,,,,,,,,
20,0.05228758169934641,0.0453257790368272,0.07018544935805991,0.04102395799146702,,,,,,,,,,,,,,,,,,,,
21,0.03431372549019608,0.058923512747875356,0.07189728958630527,,,,,,,,,,,,,,,,,,,,,
22,0.0676937441643324,0.06997167138810198,,,,,,,,,,,,,,,,,,,,,,
23,0.07026143790849673,,,,,,,,,,,,,,,,,,,,,,,
